Asset being sold,Asset being purchased,Dollar Value,Account Owner
GOOG,Cash,143,vk49No9e
ZEN,BTC,9,vk49No9e
BTC,ZEN,18,vk49No9e
BTC,ZEN,13,vk49No9e
GOOG,Cash,42,wPccxlgU
BTC,ZEN,53,vk49No9e
GOOG,Cash,127,wPccxlgU
TWTR,BTC,201,vk49No9e
GOOG,Cash,581,wPccxlgU
GOOG,Cash,181,vk49No9e
BTC,ZEN,30,wPccxlgU
Cash,GOOG,47,wPccxlgU
BTC,ZEN,236,vk49No9e
FB,Cash,94685,vk49No9e
FB,Cash,102125,vk49No9e
Cash,FB,102589,vk49No9e
Cash,FB,100998,vk49No9e
Cash,FB,94461,vk49No9e
Cash,FB,94134,vk49No9e
FB,Cash,318,vk49No9e
FB,Cash,64,vk49No9e
Cash,FB,35,vk49No9e
Cash,FB,26,vk49No9e
Cash,FB,24,vk49No9e
GOOG,Cash,86,vk49No9e
Cash,FB,46,vk49No9e
FB,Cash,47,vk49No9e
Cash,FB,26,vk49No9e
GOOG,Cash,113,vk49No9e
Cash,FB,58,vk49No9e
FB,Cash,17,vk49No9e
Cash,FB,13,vk49No9e
BTC,TWTR,34,wPccxlgU
Cash,FB,116,vk49No9e
FB,Cash,25,vk49No9e
FB,Cash,53,vk49No9e
Cash,GOOG,66,vk49No9e
Cash,FB,21,vk49No9e
Cash,FB,26,vk49No9e
FB,Cash,16,vk49No9e
FB,Cash,17,vk49No9e
Cash,FB,18,vk49No9e
Cash,FB,17,vk49No9e
Cash,FB,31,vk49No9e
Cash,FB,20,vk49No9e
FB,Cash,52,vk49No9e
Cash,FB,31,vk49No9e
GOOG,Cash,116,vk49No9e
FB,Cash,34,vk49No9e
FB,Cash,36,vk49No9e
Cash,FB,36,vk49No9e
Cash,GOOG,35,vk49No9e
FB,Cash,23,vk49No9e
TWTR,BTC,45,wPccxlgU
FB,Cash,37,vk49No9e
FB,Cash,37,vk49No9e
Cash,FB,40,vk49No9e
Cash,FB,35,vk49No9e
Cash,FB,32,vk49No9e
FB,Cash,16,vk49No9e
FB,Cash,89,vk49No9e
FB,Cash,27,vk49No9e
FB,Cash,18,vk49No9e
FB,Cash,16,vk49No9e
Cash,FB,23,vk49No9e
Cash,FB,22,vk49No9e
Cash,FB,17,vk49No9e
Cash,FB,23,vk49No9e
FB,Cash,24,vk49No9e
FB,Cash,16,vk49No9e
Cash,FB,28,vk49No9e
Cash,FB,22,vk49No9e
Cash,GOOG,181,vk49No9e
FB,Cash,72,vk49No9e
Cash,FB,18,vk49No9e
Cash,FB,34,vk49No9e
BTC,TWTR,24,wPccxlgU
GOOG,Cash,1268,vk49No9e
Cash,GOOG,1316,vk49No9e
Cash,FB,15,vk49No9e
Cash,FB,12,vk49No9e
FB,Cash,16,vk49No9e
FB,Cash,39,vk49No9e
Cash,FB,14,vk49No9e
Cash,FB,17,vk49No9e
FB,Cash,22,vk49No9e
FB,Cash,35,vk49No9e
Cash,FB,52,vk49No9e
FB,Cash,23,vk49No9e
Cash,FB,240,vk49No9e
FB,Cash,17,vk49No9e
GOOG,Cash,105,UDkHUUNw
FB,Cash,12,vk49No9e
FB,Cash,19,vk49No9e
BTC,TWTR,72,wPccxlgU
TWTR,BTC,62,wPccxlgU
Cash,GOOG,140,UDkHUUNw
GOOG,Cash,1187,UDkHUUNw
Cash,FB,33,vk49No9e
TWTR,BTC,674429,79kRyE6h
Cash,GOOG,1257,UDkHUUNw
GOOG,Cash,154,wPccxlgU
Cash,GOOG,28,wPccxlgU
BTC,TWTR,100,vk49No9e
Cash,GOOG,24,wPccxlgU
GOOG,Cash,21,wPccxlgU
GOOG,Cash,22,wPccxlgU
GOOG,Cash,20,wPccxlgU
Cash,GOOG,19,wPccxlgU
TWTR,BTC,89,vk49No9e
TWTR,BTC,140,vk49No9e
TWTR,BTC,35,vk49No9e
TWTR,BTC,45,vk49No9e
TWTR,BTC,42,vk49No9e
TWTR,BTC,30,vk49No9e
Cash,GOOG,3405,wPccxlgU
Cash,GOOG,226,wPccxlgU
FB,Cash,92626,vk49No9e
BTC,ZEN,1958,vk49No9e
BTC,TWTR,233,vk49No9e
TWTR,BTC,466,vk49No9e
Cash,GOOG,27,wPccxlgU
TWTR,BTC,44,vk49No9e
GOOG,Cash,42,wPccxlgU
Cash,GOOG,21,wPccxlgU
Cash,GOOG,22,wPccxlgU
TWTR,BTC,91284,vk49No9e
TWTR,BTC,25,vk49No9e
TWTR,BTC,87,vk49No9e
Cash,GOOG,21,wPccxlgU
BTC,TWTR,35,vk49No9e
GOOG,Cash,71,wPccxlgU
GOOG,Cash,27,wPccxlgU
TWTR,BTC,62,vk49No9e
Cash,GOOG,27,wPccxlgU
TWTR,BTC,60,vk49No9e
BTC,TWTR,37,vk49No9e
FB,Cash,37,vk49No9e
Cash,GOOG,38,wPccxlgU
GOOG,Cash,31,wPccxlgU
TWTR,BTC,35,vk49No9e
BTC,TWTR,31,vk49No9e
Cash,FB,6,wPccxlgU
FB,Cash,21,wPccxlgU
BTC,TWTR,24,vk49No9e
FB,Cash,4,wPccxlgU
FB,Cash,10,wPccxlgU
Cash,FB,57,wPccxlgU
GOOG,Cash,30,wPccxlgU
Cash,GOOG,79,wPccxlgU
FB,Cash,214,wPccxlgU
Cash,GOOG,28,wPccxlgU
Cash,GOOG,17,wPccxlgU
FB,Cash,16,wPccxlgU
Cash,GOOG,41,wPccxlgU
Cash,GOOG,23,wPccxlgU
GOOG,Cash,39,wPccxlgU
GOOG,Cash,36,wPccxlgU
Cash,GOOG,34,wPccxlgU
Cash,FB,20,wPccxlgU
FB,Cash,18,wPccxlgU
Cash,FB,21,wPccxlgU
Cash,GOOG,111,wPccxlgU
Cash,FB,44,wPccxlgU
Cash,FB,14,wPccxlgU
Cash,FB,30,wPccxlgU
Cash,FB,22,wPccxlgU
Cash,FB,27,wPccxlgU
Cash,FB,16,wPccxlgU
Cash,FB,19,wPccxlgU
FB,Cash,33,wPccxlgU
Cash,FB,20,wPccxlgU
Cash,FB,29,wPccxlgU
Cash,FB,28,wPccxlgU
FB,Cash,25,wPccxlgU
Cash,FB,18,wPccxlgU
FB,Cash,7,wPccxlgU
Cash,FB,17,wPccxlgU
FB,Cash,11,wPccxlgU
Cash,FB,13,wPccxlgU
Cash,FB,15,wPccxlgU
Cash,FB,15,wPccxlgU
FB,Cash,9,wPccxlgU
FB,Cash,16,wPccxlgU
Cash,FB,15,wPccxlgU
FB,Cash,26,wPccxlgU
Cash,FB,20,wPccxlgU
FB,Cash,15,wPccxlgU
FB,Cash,15,wPccxlgU
Cash,FB,19,wPccxlgU
Cash,FB,13,wPccxlgU
Cash,FB,17,wPccxlgU
FB,Cash,17,wPccxlgU
FB,Cash,13,wPccxlgU
FB,Cash,33,wPccxlgU
FB,Cash,14,wPccxlgU
FB,Cash,9,wPccxlgU
FB,Cash,3,wPccxlgU
Cash,FB,4,wPccxlgU
Cash,FB,9,wPccxlgU
Cash,FB,7,wPccxlgU
Cash,FB,17,wPccxlgU
Cash,FB,4,wPccxlgU
Cash,FB,8,wPccxlgU
Cash,FB,4,wPccxlgU
FB,Cash,6,wPccxlgU
FB,Cash,4,wPccxlgU
Cash,FB,20,wPccxlgU
Cash,FB,14,wPccxlgU
FB,Cash,9,wPccxlgU
Cash,FB,11,wPccxlgU
FB,Cash,14,wPccxlgU
Cash,FB,14,wPccxlgU
Cash,FB,55,wPccxlgU
Cash,FB,13,wPccxlgU
Cash,FB,14,wPccxlgU
Cash,FB,15,wPccxlgU
Cash,FB,15,wPccxlgU
FB,Cash,19,wPccxlgU
FB,Cash,13,wPccxlgU
FB,Cash,59,wPccxlgU
Cash,FB,13,wPccxlgU
Cash,FB,17,wPccxlgU
Cash,FB,19,wPccxlgU
FB,Cash,9,wPccxlgU
Cash,FB,30,wPccxlgU
FB,Cash,27,wPccxlgU
FB,Cash,6,wPccxlgU
GOOG,Cash,180,wPccxlgU
Cash,FB,8,wPccxlgU
FB,Cash,18,wPccxlgU
FB,Cash,20,wPccxlgU
Cash,FB,17,wPccxlgU
FB,Cash,116,wPccxlgU
Cash,FB,13,wPccxlgU
FB,Cash,14,wPccxlgU
FB,Cash,9,wPccxlgU
Cash,FB,13,wPccxlgU
FB,Cash,41,wPccxlgU
Cash,FB,7,wPccxlgU
FB,Cash,12,wPccxlgU
Cash,FB,5,wPccxlgU
FB,Cash,14,wPccxlgU
FB,Cash,14,wPccxlgU
BTC,TWTR,280,vk49No9e
FB,Cash,53,wPccxlgU
FB,Cash,49,wPccxlgU
Cash,FB,218,wPccxlgU
Cash,FB,20,wPccxlgU
FB,Cash,16,wPccxlgU
Cash,FB,53,wPccxlgU
FB,Cash,13,wPccxlgU
Cash,FB,21,wPccxlgU
Cash,FB,25,wPccxlgU
FB,Cash,22,wPccxlgU
FB,Cash,18,wPccxlgU
Cash,FB,13,wPccxlgU
FB,Cash,17,wPccxlgU
Cash,FB,14,wPccxlgU
Cash,FB,12,wPccxlgU
FB,Cash,13,wPccxlgU
FB,Cash,33,wPccxlgU
Cash,FB,18,wPccxlgU
Cash,FB,12,wPccxlgU
GOOG,Cash,74,wPccxlgU
FB,Cash,19,wPccxlgU
FB,Cash,18,wPccxlgU
FB,Cash,25,wPccxlgU
FB,Cash,9,wPccxlgU
FB,Cash,20,wPccxlgU
FB,Cash,23,wPccxlgU
FB,Cash,17,wPccxlgU
FB,Cash,16,wPccxlgU
Cash,FB,32,wPccxlgU
Cash,FB,14,wPccxlgU
Cash,FB,18,wPccxlgU
FB,Cash,17,wPccxlgU
Cash,FB,16,wPccxlgU
Cash,FB,14,wPccxlgU
FB,Cash,147,wPccxlgU
Cash,FB,31,wPccxlgU
FB,Cash,33,wPccxlgU
FB,Cash,15,wPccxlgU
Cash,FB,20,wPccxlgU
FB,Cash,12,wPccxlgU
Cash,FB,16,wPccxlgU
FB,Cash,39,wPccxlgU
Cash,FB,13,wPccxlgU
Cash,FB,119,wPccxlgU
Cash,FB,18,wPccxlgU
FB,Cash,85,wPccxlgU
Cash,FB,11,wPccxlgU
Cash,FB,14,wPccxlgU
TWTR,BTC,300,vk49No9e
Cash,FB,15,wPccxlgU
FB,Cash,10,wPccxlgU
Cash,FB,13,wPccxlgU
Cash,FB,17,wPccxlgU
FB,Cash,11,wPccxlgU
Cash,FB,15,wPccxlgU
Cash,FB,17,wPccxlgU
Cash,FB,13,wPccxlgU
FB,Cash,29,wPccxlgU
FB,Cash,21,wPccxlgU
Cash,FB,15,wPccxlgU
Cash,FB,21,wPccxlgU
FB,Cash,12,wPccxlgU
Cash,FB,12,wPccxlgU
FB,Cash,23,wPccxlgU
Cash,FB,9,wPccxlgU
Cash,FB,11,wPccxlgU
FB,Cash,23,wPccxlgU
FB,Cash,11,wPccxlgU
FB,Cash,16,wPccxlgU
FB,Cash,10,wPccxlgU
FB,Cash,10,wPccxlgU
Cash,FB,7,wPccxlgU
FB,Cash,8,wPccxlgU
Cash,FB,12,wPccxlgU
Cash,FB,10,wPccxlgU
FB,Cash,5,wPccxlgU
FB,Cash,9,wPccxlgU
Cash,FB,12,wPccxlgU
FB,Cash,9,wPccxlgU
FB,Cash,73,wPccxlgU
FB,Cash,10,wPccxlgU
GOOG,Cash,25,wPccxlgU
FB,Cash,13,wPccxlgU
Cash,FB,11497,wPccxlgU
BTC,ZEN,11,vk49No9e
BTC,TWTR,324,79kRyE6h
Cash,FB,22,vk49No9e
FB,Cash,44,vk49No9e
BTC,ZEN,591111,79kRyE6h
ZEN,BTC,1908129,79kRyE6h
BTC,ZEN,1209109,79kRyE6h
BTC,ZEN,1209045,79kRyE6h
ZEN,BTC,1209059,79kRyE6h
BTC,ZEN,590236,79kRyE6h
ZEN,BTC,127,79kRyE6h
ZEN,BTC,590049,79kRyE6h
ZEN,BTC,590888,79kRyE6h
GOOG,Cash,67,wPccxlgU
TWTR,BTC,134,vk49No9e
ZEN,BTC,595018,79kRyE6h
ZEN,BTC,595538,79kRyE6h
ZEN,BTC,595290,79kRyE6h
GOOG,Cash,56,vk49No9e
BTC,ZEN,596203,79kRyE6h
TWTR,BTC,117,wPccxlgU
BTC,ZEN,596529,79kRyE6h
BTC,TWTR,112,79kRyE6h
FB,Cash,31,wPccxlgU
BTC,TWTR,1128917,79kRyE6h
Cash,FB,32,wPccxlgU
Cash,FB,20,wPccxlgU
Cash,FB,14,vk49No9e
FB,Cash,184,vk49No9e
Cash,GOOG,83,vk49No9e
Cash,FB,20,wPccxlgU
Cash,FB,32,wPccxlgU
FB,Cash,26,wPccxlgU
FB,Cash,40,vk49No9e
Cash,FB,62,wPccxlgU
FB,Cash,35,vk49No9e
FB,Cash,19,wPccxlgU
Cash,FB,64,vk49No9e
Cash,GOOG,106,wPccxlgU
Cash,FB,22,wPccxlgU
FB,Cash,10,wPccxlgU
FB,Cash,21,wPccxlgU
Cash,FB,117,vk49No9e
Cash,FB,22,wPccxlgU
FB,Cash,18,wPccxlgU
Cash,FB,14,wPccxlgU
FB,Cash,23,wPccxlgU
Cash,FB,22,wPccxlgU
Cash,FB,13,wPccxlgU
FB,Cash,13,wPccxlgU
FB,Cash,17,wPccxlgU
Cash,FB,78,wPccxlgU
FB,Cash,281,vk49No9e
FB,Cash,34,wPccxlgU
FB,Cash,25,wPccxlgU
Cash,FB,15,wPccxlgU
Cash,FB,16,wPccxlgU
Cash,FB,14,wPccxlgU
Cash,FB,63,vk49No9e
Cash,FB,58,vk49No9e
FB,Cash,15,wPccxlgU
FB,Cash,12,wPccxlgU
Cash,FB,14,wPccxlgU
Cash,FB,61,wPccxlgU
FB,Cash,17,wPccxlgU
Cash,FB,26,wPccxlgU
FB,Cash,26,wPccxlgU
Cash,FB,115,wPccxlgU
Cash,GOOG,137,vk49No9e
FB,Cash,15,wPccxlgU
FB,Cash,16,wPccxlgU
Cash,FB,28,wPccxlgU
FB,Cash,17,wPccxlgU
Cash,FB,18,wPccxlgU
Cash,FB,18,wPccxlgU
Cash,FB,34,wPccxlgU
Cash,FB,54,wPccxlgU
Cash,FB,55,vk49No9e
Cash,FB,27,wPccxlgU
FB,Cash,12,wPccxlgU
FB,Cash,81,vk49No9e
Cash,FB,17,wPccxlgU
FB,Cash,31,wPccxlgU
GOOG,Cash,138,vk49No9e
FB,Cash,19,wPccxlgU
Cash,FB,15,wPccxlgU
FB,Cash,18,wPccxlgU
FB,Cash,47,vk49No9e
FB,Cash,17,wPccxlgU
Cash,FB,19,wPccxlgU
FB,Cash,186,wPccxlgU
Cash,FB,25,wPccxlgU
FB,Cash,12,wPccxlgU
Cash,FB,12,wPccxlgU
Cash,FB,16,wPccxlgU
Cash,FB,18,wPccxlgU
FB,Cash,15,wPccxlgU
Cash,FB,12,wPccxlgU
FB,Cash,19,wPccxlgU
Cash,GOOG,859,vk49No9e
Cash,FB,35,vk49No9e
Cash,FB,20,wPccxlgU
Cash,FB,23,vk49No9e
FB,Cash,16,wPccxlgU
FB,Cash,25,vk49No9e
Cash,FB,17,wPccxlgU
Cash,FB,18,wPccxlgU
Cash,FB,26,vk49No9e
FB,Cash,20,vk49No9e
FB,Cash,24,wPccxlgU
FB,Cash,13,wPccxlgU
FB,Cash,15,wPccxlgU
FB,Cash,17,wPccxlgU
Cash,GOOG,169,wPccxlgU
Cash,GOOG,25,wPccxlgU
FB,Cash,27,wPccxlgU
FB,Cash,9,wPccxlgU
Cash,FB,33,vk49No9e
FB,Cash,39,vk49No9e
Cash,FB,17,wPccxlgU
Cash,FB,13,wPccxlgU
Cash,FB,19,wPccxlgU
Cash,FB,288,vk49No9e
Cash,FB,19,wPccxlgU
FB,Cash,32,vk49No9e
FB,Cash,28,vk49No9e
FB,Cash,57,vk49No9e
Cash,FB,121,wPccxlgU
Cash,FB,28,wPccxlgU
Cash,FB,11,wPccxlgU
Cash,FB,15,wPccxlgU
BTC,TWTR,127,vk49No9e
TWTR,BTC,60,vk49No9e
FB,Cash,26,wPccxlgU
Cash,FB,23,vk49No9e
Cash,GOOG,210,vk49No9e
Cash,FB,23,wPccxlgU
Cash,FB,41,wPccxlgU
BTC,TWTR,146,wPccxlgU
FB,Cash,29,vk49No9e
BTC,TWTR,387,wPccxlgU
FB,Cash,123,wPccxlgU
Cash,FB,174,vk49No9e
Cash,FB,17,wPccxlgU
TWTR,BTC,205,wPccxlgU
TWTR,BTC,873,wPccxlgU
FB,Cash,30,wPccxlgU
Cash,GOOG,308,vk49No9e
FB,Cash,19,wPccxlgU
Cash,FB,14,wPccxlgU
FB,Cash,13,wPccxlgU
FB,Cash,16,wPccxlgU
TWTR,BTC,39,wPccxlgU
FB,Cash,38,vk49No9e
Cash,FB,11,wPccxlgU
Cash,FB,22,vk49No9e
FB,Cash,56,vk49No9e
GOOG,Cash,126,wPccxlgU
GOOG,Cash,34,wPccxlgU
TWTR,BTC,55,vk49No9e
FB,Cash,25,wPccxlgU
Cash,FB,21,wPccxlgU
BTC,TWTR,40,vk49No9e
FB,Cash,13,wPccxlgU
FB,Cash,13,wPccxlgU
Cash,FB,49,vk49No9e
FB,Cash,22,vk49No9e
FB,Cash,29,wPccxlgU
FB,Cash,17,wPccxlgU
Cash,FB,64,vk49No9e
Cash,GOOG,114,vk49No9e
GOOG,Cash,81,vk49No9e
FB,Cash,77,vk49No9e
ZEN,BTC,330,wPccxlgU
FB,Cash,37,vk49No9e
FB,Cash,29,vk49No9e
Cash,FB,19,vk49No9e
Cash,FB,15,vk49No9e
Cash,FB,40,vk49No9e
Cash,FB,28,vk49No9e
FB,Cash,27,vk49No9e
FB,Cash,22,vk49No9e
Cash,GOOG,223,vk49No9e
Cash,FB,35,vk49No9e
GOOG,Cash,80,vk49No9e
Cash,FB,24,vk49No9e
GOOG,Cash,146,vk49No9e
GOOG,Cash,213,vk49No9e
TWTR,BTC,586,wPccxlgU
FB,Cash,34,vk49No9e
Cash,FB,34,vk49No9e
FB,Cash,41,vk49No9e
FB,Cash,36,vk49No9e
Cash,FB,24,vk49No9e
Cash,FB,100,vk49No9e
FB,Cash,64,vk49No9e
TWTR,BTC,28,wPccxlgU
Cash,FB,44,vk49No9e
BTC,TWTR,131,wPccxlgU
Cash,FB,34,wPccxlgU
BTC,TWTR,56,wPccxlgU
FB,Cash,25,vk49No9e
GOOG,Cash,29,vk49No9e
Cash,GOOG,53,vk49No9e
FB,Cash,452,vk49No9e
FB,Cash,50,vk49No9e
GOOG,Cash,46,vk49No9e
Cash,FB,30,vk49No9e
BTC,TWTR,134,wPccxlgU
Cash,FB,43,vk49No9e
BTC,TWTR,74,wPccxlgU
FB,Cash,69,vk49No9e
Cash,FB,117,vk49No9e
Cash,FB,60,vk49No9e
Cash,FB,79,vk49No9e
FB,Cash,38,vk49No9e
GOOG,Cash,32,vk49No9e
Cash,FB,55,vk49No9e
FB,Cash,40,vk49No9e
GOOG,Cash,34,vk49No9e
FB,Cash,115,vk49No9e
Cash,GOOG,207,vk49No9e
BTC,TWTR,30,wPccxlgU
FB,Cash,538,vk49No9e
GOOG,Cash,55,vk49No9e
TWTR,BTC,30,wPccxlgU
BTC,TWTR,24,wPccxlgU
Cash,GOOG,254,vk49No9e
Cash,GOOG,239,vk49No9e
TWTR,BTC,42,wPccxlgU
Cash,FB,35,vk49No9e
Cash,FB,60,vk49No9e
FB,Cash,38,vk49No9e
BTC,TWTR,58,wPccxlgU
Cash,GOOG,49,vk49No9e
Cash,FB,94,vk49No9e
Cash,GOOG,32,vk49No9e
Cash,FB,91,vk49No9e
Cash,FB,103,vk49No9e
Cash,GOOG,152,vk49No9e
Cash,GOOG,71,vk49No9e
GOOG,Cash,19,vk49No9e
Cash,GOOG,55,vk49No9e
Cash,FB,71,vk49No9e
FB,Cash,29,vk49No9e
GOOG,Cash,34,vk49No9e
Cash,FB,209,vk49No9e
GOOG,Cash,53,vk49No9e
GOOG,Cash,37,vk49No9e
FB,Cash,20,vk49No9e
Cash,FB,17,vk49No9e
GOOG,Cash,54,vk49No9e
GOOG,Cash,54,vk49No9e
TWTR,BTC,39,wPccxlgU
FB,Cash,34,vk49No9e
BTC,TWTR,37,wPccxlgU
Cash,GOOG,30,vk49No9e
BTC,TWTR,60,wPccxlgU
FB,Cash,46,vk49No9e
Cash,FB,109,vk49No9e
FB,Cash,93,vk49No9e
GOOG,Cash,59,vk49No9e
FB,Cash,22,vk49No9e
FB,Cash,28,vk49No9e
Cash,FB,26,vk49No9e
Cash,FB,38,vk49No9e
FB,Cash,46,vk49No9e
Cash,FB,46,vk49No9e
Cash,FB,12,vk49No9e
Cash,GOOG,101,vk49No9e
FB,Cash,12,vk49No9e
FB,Cash,21,vk49No9e
GOOG,Cash,33,vk49No9e
FB,Cash,24,vk49No9e
Cash,FB,15,vk49No9e
FB,Cash,32,vk49No9e
GOOG,Cash,153,vk49No9e
Cash,FB,24,vk49No9e
FB,Cash,25,vk49No9e
FB,Cash,29,vk49No9e
Cash,FB,18,vk49No9e
FB,Cash,18,vk49No9e
GOOG,Cash,115,vk49No9e
Cash,FB,17,vk49No9e
Cash,FB,80,vk49No9e
Cash,FB,55,vk49No9e
GOOG,Cash,33,vk49No9e
FB,Cash,27,vk49No9e
Cash,FB,18,vk49No9e
Cash,FB,15,vk49No9e
Cash,FB,131,vk49No9e
BTC,TWTR,57,wPccxlgU
BTC,TWTR,50,wPccxlgU
TWTR,BTC,47,wPccxlgU
BTC,TWTR,38,wPccxlgU
BTC,TWTR,30,wPccxlgU
GOOG,Cash,39,vk49No9e
Cash,FB,24,vk49No9e
FB,Cash,156,vk49No9e
FB,Cash,195,vk49No9e
BTC,ZEN,243,wPccxlgU
Cash,FB,97,vk49No9e
FB,Cash,73,vk49No9e
Cash,FB,35,vk49No9e
Cash,FB,177,vk49No9e
FB,Cash,17,vk49No9e
Cash,FB,73,vk49No9e
TWTR,BTC,35,wPccxlgU
GOOG,Cash,87,wPccxlgU
FB,Cash,42,vk49No9e
Cash,FB,36,vk49No9e
Cash,GOOG,51,vk49No9e
